dataset_id,mrd_avg,wmrd_avg
dataset_0010,0.2880398025,0.033353895
dataset_0011,0.292914685,0.035149282500000004
dataset_0012,0.3160025325,0.0363857475
dataset_0013,0.28920562,0.031077519999999997
dataset_0014,0.28989675249999997,0.03394865
dataset_0015,0.31320458,0.04365888
dataset_0016,0.284595565,0.0318017375
dataset_0017,0.28747072,0.05265030749999999
dataset_0018,0.29223737750000006,0.039204314999999997
dataset_0019,0.2863496675,0.0343070025
dataset_0020,0.333204945,0.0491414375
dataset_0021,0.31501908250000005,0.06070132000000001
dataset_0022,0.3193230125,0.026657782499999998
dataset_0023,0.286304345,0.043379907499999995
dataset_0024,0.30529554749999993,0.028368917499999993
dataset_0025,0.31864565999999994,0.0317280275
dataset_0026,0.2930763025,0.034093315000000006
dataset_0027,0.30343564249999994,0.025502184999999997
dataset_0028,0.28135981750000005,0.027665034999999998
dataset_0029,0.32608520500000004,0.027262217499999998
dataset_0030,0.2858833675,0.0324043725
dataset_0031,0.3168186425,0.029192845000000002
dataset_0032,0.30164699250000004,0.039250759999999996
dataset_0033,0.29679773750000005,0.030289349999999996
dataset_0034,0.27161570500000004,0.03646392749999999
dataset_0035,0.307023655,0.0309555825
dataset_0036,0.3071546625,0.04207031000000001
dataset_0037,0.28767985,0.0313707975
dataset_0038,0.308744235,0.0423966475
dataset_0039,0.319275995,0.03334675
dataset_0040,0.29410814750000003,0.0531236925
dataset_0041,0.30413558,0.09006192499999999
dataset_0042,0.30850743999999997,0.051252815
dataset_0043,0.3037290325,0.070043555
dataset_0044,0.32355638249999996,0.056419242499999994
dataset_0045,0.30472287249999996,0.0715955925
dataset_0046,0.30220566249999997,0.061646507499999996
dataset_0047,0.30586208,0.06932666999999999
dataset_0048,0.29731852,0.05897361
dataset_0049,0.3229138375000001,0.0920215875
dataset_0050,0.29390990749999996,0.042788525
dataset_0051,0.305755315,0.03077729
dataset_0052,0.29737054749999997,0.03860976249999999
dataset_0053,0.2950381625,0.027805584999999997
dataset_0054,0.302145675,0.0366541675
dataset_0055,0.30099076500000005,0.034082082500000006
dataset_0056,0.30327861500000003,0.040598312500000004
dataset_0057,0.2855444575,0.03231675
dataset_0058,0.30463871,0.033234247499999994
dataset_0059,0.3135090325,0.0335476
dataset_0060,0.313548935,0.040681285000000005
dataset_0061,0.29906721750000004,0.05341743
dataset_0062,0.30594604750000004,0.046834505
dataset_0063,0.30806929250000004,0.0390706
dataset_0064,0.294765215,0.04142085999999999
dataset_0065,0.292269355,0.0459783575
dataset_0066,0.3035462725,0.044139754999999996
dataset_0067,0.306820465,0.110052605
dataset_0068,0.316101615,0.04768725
dataset_0069,0.3020619425,0.0530450975
dataset_0070,0.27638400249999995,0.0658538125
dataset_0071,0.2999494125,0.072256905
dataset_0072,0.31079454,0.084067215
dataset_0073,0.29320943,0.08665171749999999
dataset_0074,0.30278447,0.1441908225
dataset_0075,0.311169035,0.1457265975
dataset_0076,0.31959867,0.1171948525
dataset_0077,0.32221282,0.148937315
dataset_0078,0.30912364750000004,0.15945255749999998
dataset_0079,0.3146340325,0.1625132875
dataset_0080,0.304133935,0.094558255
dataset_0081,0.3254987275,0.08962392749999999
dataset_0082,0.31154637749999997,0.0820791675
dataset_0083,0.2997999975,0.09140092
dataset_0084,0.29475906,0.07185744
dataset_0085,0.322965415,0.0733785375
dataset_0086,0.30507931499999996,0.07099078
