dataset_id,mrd_avg,wmrd_avg
dataset_0010,0.30301430250000005,0.0579871125
dataset_0011,0.2869767025,0.04058317000000001
dataset_0012,0.30289036,0.03576221
dataset_0013,0.29993096999999996,0.030786077500000005
dataset_0014,0.29858993,0.029673512500000002
dataset_0015,0.30870964749999996,0.0385310375
dataset_0016,0.31372099500000006,0.04935262999999999
dataset_0017,0.282847365,0.044747300000000004
dataset_0018,0.2871110925,0.0402502025
dataset_0019,0.3113117175,0.057942405
dataset_0020,0.2762212375,0.03789743
dataset_0021,0.31184993,0.0333932875
dataset_0022,0.2961345725,0.031129880000000002
dataset_0023,0.29581917750000003,0.039432327499999996
dataset_0024,0.3095531375,0.0318164525
dataset_0025,0.3010026025,0.0381104925
dataset_0026,0.2772587,0.0608043675
dataset_0027,0.32124688000000007,0.0783524975
dataset_0028,0.2799670675,0.060873767499999995
dataset_0029,0.312628895,0.06367711250000001
dataset_0030,0.310562505,0.05376773750000001
dataset_0031,0.30654841,0.07236987249999999
dataset_0032,0.3063781375,0.06337306
dataset_0033,0.30836524,0.0814592925
dataset_0034,0.29791604250000003,0.06441449499999999
dataset_0035,0.299266705,0.0473625725
dataset_0036,0.28262958,0.0550439225
dataset_0037,0.30644313,0.05155660000000001
dataset_0038,0.28791052,0.05653268499999999
dataset_0039,0.3017073725,0.0630933275
dataset_0040,0.3023514925,0.06284463000000001
dataset_0041,0.3038091175,0.04743617000000001
dataset_0042,0.2647700625,0.042903184999999996
dataset_0043,0.3201985425,0.05605083
dataset_0044,0.30357537,0.049645205
dataset_0045,0.294598505,0.043610512500000004
dataset_0046,0.30723955000000003,0.07610709249999999
dataset_0047,0.295964075,0.0622735925
dataset_0048,0.271042025,0.0343765725
dataset_0049,0.2825357175,0.04554589
dataset_0050,0.28803553749999994,0.0270338975
dataset_0051,0.27805558750000003,0.05014753000000001
dataset_0052,0.28749188749999993,0.05131468
dataset_0053,0.29830261750000003,0.0442407025
dataset_0054,0.27543639999999997,0.0475826225
dataset_0055,0.31063393,0.03678366749999999
dataset_0056,0.280984225,0.04766776500000001
dataset_0057,0.28986697250000004,0.041847215
dataset_0058,0.30042387,0.0547429625
dataset_0059,0.31038002000000003,0.064685205
dataset_0060,0.31695223,0.066095125
dataset_0061,0.279777265,0.067980225
dataset_0062,0.2794157475,0.053941067499999995
dataset_0063,0.26855719,0.054953204999999984
dataset_0064,0.31272568249999994,0.06236875
dataset_0065,0.28594976250000004,0.0634859275
dataset_0066,0.32442030250000004,0.04648791
dataset_0067,0.31619638,0.053397852499999995
dataset_0068,0.3246497400000001,0.05392168499999998
dataset_0069,0.3032396775,0.052513197500000004
dataset_0070,0.3115370025,0.11755476500000002
dataset_0071,0.30025298000000006,0.06551353250000001
dataset_0072,0.30459096499999994,0.056309422500000005
dataset_0073,0.2790069975,0.054070192499999996
dataset_0074,0.29356697249999997,0.05647988499999999
dataset_0075,0.28005259000000005,0.03707188000000001
dataset_0076,0.2695361275,0.06665995749999999
dataset_0077,0.279442035,0.07170981
dataset_0078,0.290170115,0.0560579625
dataset_0079,0.30162736500000004,0.0487228925
dataset_0080,0.28281101,0.083133685
dataset_0081,0.30087846749999997,0.04396725
dataset_0082,0.29111766499999997,0.042082955000000005
dataset_0083,0.2998721225,0.0415150325
dataset_0084,0.28627136249999996,0.04852670250000001
dataset_0085,0.29918096749999995,0.06217575
dataset_0086,0.2791131025,0.03548325249999999
dataset_0087,0.3107379775,0.05119063000000001
dataset_0088,0.32661569999999995,0.05400124249999999
dataset_0089,0.29951157999999994,0.057441115
dataset_0090,0.3024666125,0.0534473425
dataset_0091,0.28569469,0.030600515000000002
dataset_0092,0.316308125,0.053845014999999996
dataset_0093,0.2956324675,0.042447842500000006
dataset_0094,0.276565935,0.031066510000000002
dataset_0095,0.3177081425,0.038192342500000004
dataset_0096,0.270170335,0.093921435
dataset_0097,0.273945705,0.03678248
dataset_0098,0.30449944500000004,0.047569654999999995
dataset_0099,0.29181376,0.0358640025
dataset_0100,0.3243908025,0.04484705
dataset_0101,0.2880967675,0.040538660000000004
dataset_0102,0.288357425,0.03895639249999999
dataset_0103,0.30756717,0.047127585
dataset_0104,0.30884844499999997,0.060725154999999996
dataset_0105,0.287843435,0.0857305
dataset_0106,0.2865859125,0.0514260125
dataset_0107,0.30114261999999997,0.0399704725
dataset_0108,0.316061205,0.0406697725
dataset_0109,0.30924076749999996,0.041031305
dataset_0110,0.31213963749999996,0.0399136625
dataset_0111,0.2990580675,0.049051745
dataset_0112,0.2751442075,0.03680982
dataset_0113,0.30048351749999996,0.048297427500000004
dataset_0114,0.3204320425,0.04654295
dataset_0115,0.3090090475,0.0560868425
dataset_0116,0.29585673,0.053187067500000004
dataset_0117,0.31950360499999997,0.06670920749999999
dataset_0118,0.29029895,0.0670681225
dataset_0119,0.30686965,0.04648813
dataset_0120,0.30787135749999994,0.0541200875
dataset_0121,0.30583049,0.04431616750000001
dataset_0122,0.28685453,0.053695885
dataset_0123,0.282670425,0.05728944250000002
dataset_0124,0.28435656,0.06258865499999999
dataset_0125,0.29741623999999994,0.0622816225
dataset_0126,0.289818645,0.05770316750000001
dataset_0127,0.29839629500000003,0.049254517500000004
dataset_0128,0.2855410574999999,0.063820065
dataset_0129,0.28983491499999997,0.06410186500000002
dataset_0130,0.3094418725,0.05717031500000002
dataset_0131,0.3105772375,0.06268166000000001
dataset_0132,0.31273362500000007,0.06323727000000001
dataset_0133,0.28221662999999997,0.10011358000000001
dataset_0134,0.29821759500000006,0.12069486250000003
dataset_0135,0.30488793250000007,0.141193615
dataset_0136,0.28860927249999996,0.13880737749999997
dataset_0137,0.3139471350000001,0.13482077
dataset_0138,0.30045843999999994,0.13450124249999998
dataset_0139,0.31131711250000005,0.12240974000000002
dataset_0140,0.28068713500000003,0.052316972499999996
dataset_0141,0.299982265,0.05787303
dataset_0142,0.28352354500000004,0.06483346499999999
dataset_0143,0.290655,0.07783864
dataset_0144,0.2734748275,0.07307214249999999
dataset_0145,0.28237780749999997,0.0582090775
dataset_0146,0.3198936875,0.0489476925
dataset_0147,0.32202846749999997,0.07417572249999999
dataset_0148,0.3083880175,0.07841576
dataset_0149,0.285288125,0.071512695
dataset_0150,0.30348974999999995,0.045016337499999996
dataset_0151,0.3159813175,0.048021785000000004
dataset_0152,0.28631578250000006,0.069628805
dataset_0153,0.2854553675,0.051349204999999995
dataset_0154,0.29333296000000003,0.08667305750000001
dataset_0155,0.32401937750000004,0.0963271475
dataset_0156,0.345745285,0.10863125
dataset_0157,0.3169015,0.11123349749999999
dataset_0158,0.3078068875,0.13231566
dataset_0159,0.2797144425,0.0944432125
dataset_0160,0.31395029,0.12868015249999998
dataset_0161,0.29876561,0.13283169
dataset_0162,0.3141950525,0.16765723000000002
dataset_0163,0.326556005,0.1347171175
dataset_0164,0.316020185,0.12899739
dataset_0165,0.31221303,0.14299317749999998
dataset_0166,0.299865665,0.1158578425
dataset_0167,0.3176694625,0.129804265
dataset_0168,0.32574065499999993,0.1141999175
dataset_0169,0.3024474125,0.13665011
dataset_0170,0.30953075249999995,0.0308427775
dataset_0171,0.291900255,0.033090720000000004
dataset_0172,0.303213085,0.040737337500000005
dataset_0173,0.3127249425,0.037708305
dataset_0174,0.30479872999999996,0.04101824750000001
dataset_0175,0.3152682325,0.0405340125
dataset_0176,0.2998982925,0.0277108675
dataset_0177,0.329048365,0.033306965
dataset_0178,0.288615085,0.028235417500000005
dataset_0179,0.30962671,0.0326123525
dataset_0180,0.29196473749999996,0.037873645
dataset_0181,0.2670405425,0.0378795325
dataset_0182,0.30071282,0.04793366000000001
dataset_0183,0.3118657275,0.0592059325
dataset_0184,0.30276912500000003,0.05706235249999999
dataset_0185,0.29307256500000006,0.0545072025
dataset_0186,0.31741807750000006,0.0416821025
dataset_0187,0.29193836749999996,0.048458604999999995
dataset_0188,0.33579768,0.050722172499999996
dataset_0189,0.311833155,0.05919492
dataset_0190,0.32019096249999995,0.0636796125
dataset_0191,0.2800428325,0.054057637500000005
dataset_0192,0.29957788,0.08250419
dataset_0193,0.3035596875,0.055948647500000004
dataset_0194,0.3100142375,0.0706778975
dataset_0195,0.289921485,0.0734405575
dataset_0196,0.32159055999999997,0.0567988025
dataset_0197,0.3065603175,0.049774412500000004
dataset_0198,0.3074734475,0.08638619
dataset_0199,0.32057519999999995,0.06034718250000001
dataset_0200,0.318120205,0.0472281975
dataset_0201,0.32668910500000004,0.039150697500000005
dataset_0202,0.29274214,0.0323526775
dataset_0203,0.30862775249999996,0.02664774
dataset_0204,0.28166449250000003,0.060910595
dataset_0205,0.295525845,0.034064187499999996
dataset_0206,0.30387629999999993,0.039769605
dataset_0207,0.30347181000000006,0.060728235
dataset_0208,0.3094364375,0.06207173
dataset_0209,0.30606226499999994,0.078019275
dataset_0210,0.2921511825,0.046977355000000005
dataset_0211,0.29380289249999997,0.0428734225
dataset_0212,0.313689775,0.06289673750000001
dataset_0213,0.3199812225,0.070706265
dataset_0214,0.2919680775,0.0802917275
dataset_0215,0.3388554875,0.056188362500000005
dataset_0216,0.2933793975,0.0657975425
dataset_0217,0.30820859,0.07266162500000001
dataset_0218,0.298616225,0.08825747999999999
dataset_0219,0.32503704999999994,0.059700819999999995
dataset_0220,0.3293685275,0.0528571975
dataset_0221,0.32179979499999994,0.05833824249999999
dataset_0222,0.3112762375,0.056732689999999995
dataset_0223,0.329310475,0.0551189125
dataset_0224,0.30560684000000005,0.05893111
dataset_0225,0.32535275999999996,0.0513967625
dataset_0226,0.3196518475000001,0.06462644
dataset_0227,0.31280910500000003,0.068705845
dataset_0228,0.328965,0.07004600500000001
dataset_0229,0.30981638499999997,0.061118455
dataset_0230,0.3143913375,0.054581245
dataset_0231,0.32157788000000004,0.040421492499999996
dataset_0232,0.2953425875,0.047140060000000004
dataset_0233,0.33526793749999995,0.0523755475
dataset_0234,0.299178335,0.044633932499999994
dataset_0235,0.28610535000000004,0.0336886875
dataset_0236,0.3124590225,0.041567515000000006
dataset_0237,0.3094544275000001,0.0452924
dataset_0238,0.3095723025,0.0326728725
dataset_0239,0.2862238825,0.0347127225
dataset_0240,0.32774905,0.06109372250000001
dataset_0241,0.299263275,0.0744139075
dataset_0242,0.3033222525,0.0672617775
dataset_0243,0.3136686225,0.057561425
dataset_0244,0.32334120749999995,0.0692916975
dataset_0245,0.29677534,0.061576197500000006
dataset_0246,0.2992486875,0.06250886750000001
dataset_0247,0.30101565250000006,0.0660102475
dataset_0248,0.29470253999999996,0.07219433
dataset_0249,0.3058455875,0.04991305499999999
dataset_0250,0.2836607725,0.076833655
dataset_0251,0.3043283675,0.06267370250000001
dataset_0252,0.2980174225,0.057730117500000004
OVERALL_AVG,0.3016795141563786,0.060287728281893
