dataset_id,mrd_avg,wmrd_avg
dataset_0010,0.28560532,0.036462262499999995
dataset_0011,0.295198265,0.053320664999999996
dataset_0012,0.31829869,0.0521502
dataset_0013,0.29066370999999996,0.0365163825
dataset_0014,0.29149791750000004,0.028981314999999997
dataset_0015,0.31401097,0.0427467025
dataset_0016,0.2838222925,0.0312587575
dataset_0017,0.2906879175,0.06812696749999998
dataset_0018,0.29509799500000006,0.050702445000000006
dataset_0019,0.28505165250000003,0.032365777500000005
dataset_0020,0.33456514000000004,0.0567760125
dataset_0021,0.3141949975,0.06847972249999999
dataset_0022,0.3180525925,0.02531257
dataset_0023,0.28842757750000003,0.040052922500000004
dataset_0024,0.30642006250000003,0.0282438075
dataset_0025,0.31967660999999997,0.034313065
dataset_0026,0.2926015525,0.035069165
dataset_0027,0.30477341750000003,0.026452512500000004
dataset_0028,0.28267296249999996,0.030360899999999996
dataset_0029,0.325093245,0.030556287500000005
dataset_0030,0.28838946249999997,0.0331060975
dataset_0031,0.317786805,0.031248360000000003
dataset_0032,0.302348165,0.03704394
dataset_0033,0.29642239249999996,0.030511504999999998
dataset_0034,0.2721922725,0.0369034
dataset_0035,0.3052488125,0.029008137500000003
dataset_0036,0.3080801225,0.040274412499999995
dataset_0037,0.287891705,0.031481715
dataset_0038,0.3074501275,0.039666164999999996
dataset_0039,0.3207983025,0.033586985
dataset_0040,0.2921020325,0.052923025
dataset_0041,0.30475553250000004,0.08819570500000001
dataset_0042,0.30764052999999997,0.048247552500000006
dataset_0043,0.301654755,0.06551118
dataset_0044,0.3244667075,0.056824337499999995
dataset_0045,0.30174666250000004,0.06946297
dataset_0046,0.2993806875,0.060188527500000005
dataset_0047,0.3027832325,0.06918811
dataset_0048,0.29871597499999997,0.058566885
dataset_0049,0.32237101,0.09309153
dataset_0050,0.2935454775,0.0479365475
dataset_0051,0.3046164025,0.032542192500000004
dataset_0052,0.29680056,0.04591334
dataset_0053,0.29308561749999995,0.033440905
dataset_0054,0.3013007775,0.031472629999999994
dataset_0055,0.300713295,0.0405448
dataset_0056,0.30277602,0.045327059999999995
dataset_0057,0.28432106500000004,0.037977392500000005
dataset_0058,0.30484086499999996,0.0386551075
dataset_0059,0.31659418500000003,0.0383454975
dataset_0060,0.31284510749999994,0.0409256975
dataset_0061,0.299623905,0.048878055000000004
dataset_0062,0.3077629075,0.045129332499999994
dataset_0063,0.30943128999999997,0.039094737500000004
dataset_0064,0.2945882125,0.04128626
dataset_0065,0.29354107749999997,0.044448932499999996
dataset_0066,0.3033384525,0.0434269575
dataset_0067,0.306329435,0.10488605000000001
dataset_0068,0.3165546800000001,0.04718724
dataset_0069,0.3009284675,0.0472461125
dataset_0070,0.2776716425,0.0563353375
dataset_0071,0.3014499275,0.06229241
dataset_0072,0.31178731,0.0758972275
dataset_0073,0.293620875,0.07828652
dataset_0074,0.305033465,0.1371949625
dataset_0075,0.31440488,0.13962607999999999
dataset_0076,0.3207382975,0.11158810499999999
dataset_0077,0.3228940475,0.1404008625
dataset_0078,0.3099762,0.150528065
dataset_0079,0.3154181175,0.154208815
dataset_0080,0.303485345,0.110426425
dataset_0081,0.3250622925,0.10840914500000003
dataset_0082,0.3119294975,0.10377149499999999
dataset_0083,0.29927761500000005,0.10795774999999999
dataset_0084,0.2940535475,0.091185205
dataset_0085,0.32222351000000005,0.09829701249999999
dataset_0086,0.30492085250000006,0.09213871750000001
dataset_0087,0.29839252,0.11516211250000001
dataset_0088,0.3014206575,0.10708826
dataset_0089,0.3133413075,0.10739019249999998
dataset_0090,0.30942701499999997,0.043697972499999994
dataset_0091,0.29957783499999996,0.0381908125
dataset_0092,0.2760842525,0.0349761975
dataset_0093,0.287334345,0.030275555000000006
dataset_0094,0.3107397275,0.0334384925
dataset_0095,0.30189979499999997,0.0338663575
dataset_0096,0.31757032,0.0414246025
dataset_0097,0.28567412500000006,0.04468985999999999
dataset_0098,0.30592533499999996,0.045372287500000004
dataset_0099,0.29777807250000005,0.04466494750000001
dataset_0100,0.30445653,0.05495043
dataset_0101,0.30064612749999997,0.047040945
dataset_0102,0.29956943499999994,0.03673519
dataset_0103,0.30965511250000005,0.0560976425
dataset_0104,0.30850069999999996,0.055742085000000004
dataset_0105,0.28894054999999996,0.06349291
dataset_0106,0.30631487500000004,0.0456948025
dataset_0107,0.29321797000000005,0.03147494
dataset_0108,0.30793204,0.026626535000000003
dataset_0109,0.3051538625,0.0574786475
dataset_0110,0.29487328749999997,0.03435066999999999
dataset_0111,0.30036957499999994,0.05628511249999999
dataset_0112,0.3334861850000001,0.0321955575
dataset_0113,0.3058851675,0.023149120000000002
dataset_0114,0.30000736250000004,0.025138240000000006
dataset_0115,0.3063966875,0.034216895000000004
dataset_0116,0.315905085,0.03868236
dataset_0117,0.3056951075,0.05120366750000001
dataset_0118,0.2913489725,0.0298959975
dataset_0119,0.31208872499999996,0.025552150000000006
dataset_0120,0.303986735,0.0383111525
dataset_0121,0.3137380125,0.045940977499999994
dataset_0122,0.33892767500000004,0.032962137499999995
dataset_0123,0.320324485,0.04535681999999999
dataset_0124,0.3085472125,0.0352694275
dataset_0125,0.305887405,0.031295632500000004
dataset_0126,0.3229299475,0.047341865
dataset_0127,0.3132410175,0.048618455000000005
dataset_0128,0.3089134275,0.038753617500000004
dataset_0129,0.313328335,0.06419244
dataset_0130,0.3159265925,0.071657335
dataset_0131,0.308146285,0.06069777999999999
dataset_0132,0.3208880275,0.0513495
dataset_0133,0.3029308725,0.071446425
dataset_0134,0.3108887,0.04163955749999999
dataset_0135,0.31942988749999995,0.0677291825
dataset_0136,0.29869514,0.036040825
dataset_0137,0.28512958,0.0468646925
dataset_0138,0.3296407725,0.0471384675
dataset_0139,0.3426670625,0.063729005
dataset_0140,0.320042,0.04934179
dataset_0141,0.313764,0.0472398775
dataset_0142,0.3114487,0.039005322499999995
dataset_0143,0.325290965,0.045765799999999995
dataset_0144,0.29725694,0.05509683750000001
dataset_0145,0.30079036249999996,0.0286214
dataset_0146,0.28921690749999995,0.03344756
dataset_0147,0.31588498500000006,0.049799474999999996
dataset_0148,0.32728592250000005,0.029587749999999996
dataset_0149,0.31547100250000004,0.0927816275
dataset_0150,0.291260955,0.0776329275
dataset_0151,0.31153580499999994,0.042862525
dataset_0152,0.2985411625,0.0508024775
dataset_0153,0.30409784500000003,0.0711865625
dataset_0154,0.30841966499999995,0.0476741
dataset_0155,0.30752136,0.0277982175
dataset_0156,0.31444857,0.031264615
dataset_0157,0.316783925,0.0257751425
dataset_0158,0.30434621,0.04121708500000001
dataset_0159,0.3186063025,0.028010565000000005
dataset_0160,0.3057321075,0.0332081675
dataset_0161,0.31338571,0.03550948499999999
dataset_0162,0.33165820499999993,0.032347587500000004
dataset_0163,0.3027475275,0.0354573525
dataset_0164,0.31498312,0.0362318025
dataset_0165,0.309624055,0.033008520000000006
dataset_0166,0.33075390499999996,0.033237885
dataset_0167,0.2975653825,0.039027985
dataset_0168,0.31020063,0.034192982499999997
dataset_0169,0.29718916,0.041836935000000006
dataset_0170,0.30924732499999996,0.030005769999999998
dataset_0171,0.30471643,0.0335694375
dataset_0172,0.302511575,0.034740355
dataset_0173,0.30059845,0.049113705
dataset_0174,0.31230716000000003,0.0483378675
dataset_0175,0.30678472,0.034868045
dataset_0176,0.32984429000000004,0.03138892
dataset_0177,0.28704472,0.049690232499999994
dataset_0178,0.326473755,0.033793355
dataset_0179,0.3210517,0.034157137500000004
dataset_0180,0.32357041499999994,0.028514565000000002
dataset_0181,0.304275225,0.05008349
dataset_0182,0.3162121175,0.04151660999999999
dataset_0183,0.32588395,0.0458831775
dataset_0184,0.3144507025,0.035886625000000005
dataset_0185,0.31635833,0.036288825
dataset_0186,0.3045046325,0.0361875425
dataset_0187,0.2978198975,0.04507968
dataset_0188,0.30795884,0.028260565
dataset_0189,0.3082226875,0.0383080775
dataset_0190,0.2840598025,0.05638654
dataset_0191,0.2990226775,0.051159307499999994
dataset_0192,0.3141917400000001,0.0685610025
dataset_0193,0.3155406375,0.052929715
dataset_0194,0.30927481,0.0392583825
dataset_0195,0.3010894375,0.037841845
dataset_0196,0.32092499999999996,0.04698221999999999
dataset_0197,0.3169081425000001,0.0322092475
dataset_0198,0.31486117,0.0471129425
dataset_0199,0.3356992749999999,0.06882150000000001
dataset_0200,0.3136132525,0.050910165
dataset_0201,0.30171431000000004,0.062893035
dataset_0202,0.3237872625,0.0409097375
dataset_0203,0.3168173875,0.0419036425
dataset_0204,0.3264485825,0.0405288075
dataset_0205,0.30722348,0.04270995999999999
dataset_0206,0.32679809750000005,0.07865984250000001
dataset_0207,0.32830119750000003,0.04452534
dataset_0208,0.3001822725,0.046100262499999996
dataset_0209,0.3279537225,0.039089502500000005
dataset_0210,0.304789,0.053183404999999996
dataset_0211,0.305494,0.052462554999999994
dataset_0212,0.306883,0.075750515
dataset_0213,0.28094020500000005,0.068619775
dataset_0214,0.29811899999999997,0.07515933500000001
dataset_0215,0.31842699999999996,0.04333833249999999
dataset_0216,0.31880541749999997,0.064414075
dataset_0217,0.29504300000000006,0.055563372500000006
dataset_0218,0.32282000000000005,0.060219407500000016
dataset_0219,0.289809,0.0626033425
dataset_0220,0.32815321499999994,0.049784217500000005
dataset_0221,0.34033675750000003,0.0467211125
dataset_0222,0.3108382225,0.0561341975
dataset_0223,0.2986320625,0.04054336
dataset_0224,0.307485585,0.039925415
dataset_0225,0.28490160499999995,0.0477197925
dataset_0226,0.329543285,0.049710265
dataset_0227,0.3048876825,0.0430112875
dataset_0228,0.30677629250000005,0.0390214775
dataset_0229,0.2886601175,0.052935705000000007
dataset_0230,0.3031056575,0.062566465
dataset_0231,0.3097741275,0.0733020825
dataset_0232,0.28500586,0.066095755
dataset_0233,0.295819805,0.059396197500000004
dataset_0234,0.30108314,0.06124311749999999
dataset_0235,0.308723635,0.10367421499999999
dataset_0236,0.295139465,0.09590221249999999
OVERALL_AVG,0.30707488081497797,0.051463449933920706
